//	ID	NPC	Map	Coordinates	Continent
1	Argent Teleporter - Jovial	Argent City	2187,2776	Ascaron
2	Argent Secretary - Salvier	Argent City	2219,2749	Ascaron
3	Blacksmith - Goldie	Argent City	2193,2706	Ascaron
4	Castle Guard - Peter	Argent City	2192,2767	Ascaron
5	Citizen - Margaret	Argent City	2279,2746	Ascaron
6	Granny Beldi	Argent City	2277,2769	Ascaron
7	Little Daniel	Argent City	2193,2730	Ascaron
8	Trader - Chiroro	Argent City	2331,2821	Ascaron
9	Physican - Ditto	Argent City	2250,2770	Ascaron
10	Banker - Monica	Argent City	2220,2704	Ascaron
11	Innkeeper - Marriam	Argent City	2211,2781	Ascaron
12	Forbei	Argent City	2226,2726	Ascaron
13	Sailer - Coddy	Argent City	2219,2911	Ascaron
14	General - William	Argent City	2277,2831	Ascaron
15	Nurse - Gina	Argent City	2244,2770	Ascaron
16	Shaitan Ambassador - Xiba	Argent City	2256,2706	Ascaron
17	Argent Chairman - Ronnie	Argent City	2241,2748	Ascaron
18	Oldman - Blurry	Argent City	2272,2700	Ascaron
19	Grocery - Jimberry	Argent City	2232,2729	Ascaron
20	Tailor - Granny Nila	Argent City	2267,2704	Ascaron
21	Assistant - Rouri	Argent City	2240,2752	Ascaron
22	Newbie Guide - Senna	Argent City	2223,2785	Ascaron
23	Barmaid - Donna	Argent City	2224,2887	Ascaron
24	Tourist - Ja	Argent City	2215,2828	Ascaron
25	Drunkyard - Anthony	Argent City	2222,2889	Ascaron
26	Youth - Tommy	Belmont Plains	1962,2694	Ascaron
27	Manufacturer - Desmond	Belmont Plains	1732,2782	Ascaron
28	D EDITION - SMUGGLING BUNNY	Belmont Plains	2298,2520	Ascaron
29	Navy Commander - Dessaro	Thundoria Castle	713,1416	Ascaron
30	Bar Waitress - Mona	Thundoria Harbor	990,1263	Ascaron
31	Sailor - Dio	Thundoria Harbor	1083,1285	Ascaron
32	Trader - Sanjay	Thundoria Harbor	1003,1306	Ascaron
33	Doctor - Masa	Thundoria Castle	773,1549	Ascaron
34	Banker - Macurdo	Thundoria Castle	743,1534	Ascaron
35	Blacksmith - Furlington	Thundoria Castle	766,1447	Ascaron
36	Girl - Cindy	Thundoria Castle	740,1451	Ascaron
37	Shaitan Ambassador - Alix	Thundoria Castle	712,1508	Ascaron
38	Tools - Wesley	Thundoria Castle	741,1563	Ascaron
39	Innkeeper - Granny Maya	Thundoria Castle	697,1542	Ascaron
40	Tailor - Ditter	Thundoria Castle	754,1512	Ascaron
41	Argent Ambassador - Yata	Thundoria Castle	741,1553	Ascaron
42	Guard Captain - Mallack	Thundoria Castle	706,1465	Ascaron
43	Grocer - Kudu	Thundoria Castle	725,1551	Ascaron
44	Thundoria Teleporter - Sarah	Thundoria Castle	743,1586	Ascaron
45	Girl - Rioli	Thundoria Harbor	1020,1278	Ascaron
46	Navy HQ - General Ken	Thundoria Castle	808,1521	Ascaron
47	Navy HQ - Colonel Maxi	Thundoria Castle	653,1505	Ascaron
48	Morpheus - Freya	Thundoria Castle	651,1585	Ascaron
49	Guard - Nisson	Thundoria Castle	711,1414	Ascaron
50	Guard - Sonny	Thundoria Castle	715,1414	Ascaron
51	Tourist - Bey	Thundoria Castle	669,1554	Ascaron
52	Tourist - Barbi	Sacred Snow Mountain	994,1234	Ascaron
53	Arena Administrator	Argent City	2210,2893	Ascaron
54	Patrol - Marcusa	Belmont Plains	2065,2732	Ascaron
55	Haven Teleporter - Mabel	Chaldea Haven	625,2104	Ascaron
56	Haven Teleporter - Wendy	Andes Forest Haven	1018,2975	Ascaron
57	Doctor - Chivo	Chaldea Haven	630,2091	Ascaron
58	Doctor - Minoseva	Andes Forest Haven	1004,2973	Ascaron
59	Fukei	Belmont Plains	2290,2495	Ascaron
60	Xitron	Belmont Plains	1858,2585	Ascaron
61	Kentaro	Abandon Mine Haven	1894,2798	Ascaron
62	Bubu	Belmont Plains	1973,2457	Ascaron
63	Melissa	Belmont Plains	1963,2492	Ascaron
64	Gador	Rockery Haven	1507,3105	Ascaron
65	Little Cuwen	Belmont Plains	1635,2607	Ascaron
66	Aunt Mary	Belmont Plains	2144,2552	Ascaron
67	Waala	Valhalla Haven	1136,2778	Ascaron
68	Alexandis	Rockery Haven	1526,3089	Ascaron
